FIPS,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13,POPLOSS10
19007,96.76418095755413,0.4267866842554512,1.4045161790952119,0.27159152634437805,0.23279273686660976,0.0,20.113292465275084,22.45673934973229,41018.0,16.5,0,25.2,0,0,1.0
19009,98.16963556136623,0.14708285667592744,0.6046739663343683,0.4085634907664651,0.11439777741461025,0.0163425396306586,23.19006373590456,21.88266056545187,50948.0,10.3,0,15.3,0,0,1.0
19011,97.35772357723577,0.35664979291302346,1.0546096026998006,0.2531063046479521,0.15723270440251574,0.007669888019634912,15.397300199417089,25.487037889246817,65127.0,8.3,0,10.3,0,1,0.0
19013,83.88740559920666,8.767259134945457,3.743229842093218,1.2853764589213517,0.15943245098787093,0.13349607140132733,13.830955831871233,21.73773743229842,50335.0,14.2,0,16.8,0,1,0.0
19015,95.77282749182696,0.7678856534630882,1.9197141336577208,0.33072302896677563,0.27370181707595226,0.011404242378164677,15.94313084467422,23.86907929749867,58010.0,8.8,0,11.4,0,0,0.0
19017,96.63453616740813,0.7661888284725655,0.9845114516394794,0.7126379963750206,0.04531224254407645,0.008238589553468446,17.268083704069866,22.70967210413577,65295.0,7.8,0,7.1,0,1,0.0
19019,97.07033113846741,0.2815154117759328,1.1594617807042655,0.429430289149728,0.1049718484588224,0.004771447657219201,15.292489741387536,27.08273690237618,55848.0,10.3,0,14.4,0,0,0.0
19021,67.89733464955577,2.4531095755182633,22.744323790720628,5.52319842053307,0.08884501480750248,0.4689042448173741,15.078973346495562,24.955577492596248,51991.0,13.7,0,19.1,0,0,0.0
19023,97.88121342570793,0.16815766462635368,0.8945987758122016,0.2354207304768952,0.09416829219075804,0.013452613170108294,19.80224658639941,23.562251967444677,54947.0,9.2,0,11.8,0,0,1.0
19025,97.93174767321614,0.19648397104446744,0.9307135470527405,0.2068252326783868,0.18614270941054809,0.010341261633919338,23.702171664943123,21.22026887280248,49206.0,12.5,0,16.5,0,0,1.0
19027,96.65161414296696,0.3939277478862414,1.5997309761721752,0.4419677171406611,0.09607993850883936,0.0,18.610684089162184,24.865488086087627,58575.0,8.7,0,10.5,0,0,1.0
19029,96.7469188879335,0.23645743766122096,1.812840355402694,0.2149613069647464,0.1648036686729722,0.32244196044711954,20.951562052163943,22.843221553453713,45915.0,13.9,0,19.7,0,0,1.0
19031,96.74577004162389,0.28109627547434995,1.5352181198983728,0.4216444132115249,0.1243310449213471,0.010811395210551923,16.719822693118545,24.525650035137033,60120.0,7.3,0,9.7,0,0,0.0
